Bhuvneshwar Kumar,1,3, 4.30 
Jasprit Bumrah,1,1, 3.90 
Hardik Pandya,0,1, 5.50 
Ravindra Jadeja,0,1, 3.40 
Yuzvendra Chahal,0,1, 6.30 
Trent Boult,2,2, 4.20 
Matt Henry,1,3, 3.70 
Lockie Ferguson,0,1, 4.30 
Colin de Grandhomme,0,0, 6.50 
James Neesham,0,1, 6.53 
Mitchell Santner,2,2, 3.40 
