"430","Yamin Ahmadzai","Afghanistan","http://www.espncricinfo.com//inline/content/image/575808.html?alt=1","Bowler","5"
"429","Wafadar Momand","Afghanistan","http://www.espncricinfo.com//inline/content/image/1150270.html?alt=1","Bowler","5"
"428","Usman Ghani","Afghanistan","http://www.espncricinfo.com//inline/content/image/720003.html?alt=1","Batsman","6"
"427","Sharafuddin Ashraf","Afghanistan","http://www.espncricinfo.com//inline/content/image/1117549.html?alt=1","Allrounder","5"
"426","Shapoor Zadran","Afghanistan","http://www.espncricinfo.com//inline/content/image/583385.html?alt=1","Bowler","5"
"425","Shafiqullah","Afghanistan","http://www.espncricinfo.com//inline/content/image/583388.html?alt=1","Wicketkeeper","6"
"424","Sayed Shirzad","Afghanistan","http://www.espncricinfo.com//inline/content/image/719999.html?alt=1","Bowler","5"
"423","Samiullah Shinwari","Afghanistan","http://www.espncricinfo.com//inline/content/image/1186397.html","Allrounder","5"
"422","Rashid Khan","Afghanistan","http://www.espncricinfo.com//inline/content/image/1184480.html?alt=1","Bowler","9"
"421","Rahmat Shah","Afghanistan","http://www.espncricinfo.com//inline/content/image/1186399.html","Allrounder","5"
"420","Noor Ali Zadran","Afghanistan","http://www.espncricinfo.com//inline/content/image/979089.html?alt=1","Batsman","6"
"419","Najibullah Zadran","Afghanistan","http://www.espncricinfo.com//inline/content/image/979087.html?alt=1","Batsman","7"
"418","Najeeb Tarakai","Afghanistan","http://www.espncricinfo.com//inline/content/image/726969.html","Batsman","6"
"417","Mujeeb Ur Rahman","Afghanistan","http://www.espncricinfo.com//inline/content/image/1186400.html","Bowler","5"
"416","Mohammad Shahzad","Afghanistan","http://www.espncricinfo.com//inline/content/image/1186394.html","Wicketkeeper","7"
"415","Mohammad Nabi","Afghanistan","http://www.espncricinfo.com//inline/content/image/1186395.html","Allrounder","9.5"
"414","Javed Ahmadi","Afghanistan","http://www.espncricinfo.com//inline/content/image/583382.html?alt=1","Batsman","6"
"413","Ikram Alikhil","Afghanistan","http://www.espncricinfo.com//inline/content/image/1131905.html?alt=1","Wicketkeeper","6"
"404","Aftab Alam","Afghanistan","http://www.espncricinfo.com//inline/content/image/745105.html?alt=1","Bowler","6"
"405","Asghar Afghan","Afghanistan","http://www.espncricinfo.com//inline/content/image/1186398.html","Batsman","7"
"406","Dawlat Zadran","Afghanistan","http://www.espncricinfo.com//inline/content/image/1186401.html","Bowler","6"
"407","Fareed Ahmad","Afghanistan","http://www.espncricinfo.com//inline/content/image/720033.html?alt=1","Bowler","5"
"408","Gulbadin Naib","Afghanistan","http://www.espncricinfo.com//inline/content/image/1186402.html","Bowler","6"
"409","Hamid Hassan","Afghanistan","http://www.espncricinfo.com//inline/content/image/979091.html?alt=1","Bowler","6"
